timestamp,emotion,confidence,text,user,source,platform
2025-12-23 21:01:42.589858,sad,92.21277,,Guest,,
2025-12-23 21:36:56.876423,fear,63.78118896484375,,Guest,,
2025-12-23 21:37:51.261189,neutral,62.31,कठिन रास्ते अक्सर खूबसूरत मंजिलों तक ले जाते हैं,Guest,,
2025-12-23 21:53:57.714230,angry,90.36790466308594,,Alok  Mittal,,
2025-12-23 22:32:20.168096,sad,95.62010955810548,,Guest,,
2025-12-23 22:48:41.322627,neutral,92.02400207519533,,Guest,,
2025-12-24 05:58:30.803232,happy,73.69688415527344,,Guest,,
2025-12-24 06:15:32.391964,sadness,36.32,this is a very cold day today with lot of Fog,Guest,,
2025-12-24 06:16:50.405252,sadness,60.78,उसे लगातार दर्द/पीड़ा हो रहा/रही था/थी,Guest,,
2025-12-24 06:20:40.093147,joy,97.82,its a very good day,Guest,,
2025-12-25 11:57:12.640047,happy,84.5270004272461,,Guest,,
2025-12-25 11:57:54.862122,anger,46.3,बाहर बहुत ठंड है,Guest,,
2025-12-25 11:58:44.078989,sadness,39.23,कठिन समय में मदद करना या सहारा देना,Guest,,
2025-12-25 12:06:13.462881,neutral,69.94,The sun rises in the east,Guest,,
2025-12-25 12:06:42.817055,fear,46.58,Please close the door. / Don't touch that,Guest,,
2025-12-25 12:07:06.727124,neutral,46.29,"She reads books, and he writes articles",Guest,,
2025-12-25 12:07:51.166140,fear,52.0,"""I've never felt so completely seen and loved; it was a profoundly emotional moment"". ",Guest,,
2025-12-25 12:11:24.361379,neutral,63.68,Le cœur a ses raisons que la raison ne connaît point,Guest,,
2025-12-25 12:12:38.146412,neutral,61.57,Fais toujours de ton mieux même si personne ne regarde,Guest,,
2025-12-25 12:13:02.472030,neutral,80.12,La simplicité est la sophistication supreme,Guest,,
2025-12-25 12:13:28.252868,disgust,38.19,La plus belle des ruses du diable est de vous persuader qu'il n'existe pas,Guest,,
2025-12-25 12:44:48.961408,fear,87.43135070800781,,Guest,,
2025-12-25 12:46:08.091714,joy,99.35,i am feeling happy as weather is great,Guest,,
2025-12-25 12:46:34.738868,joy,96.26,today the circus visit was great,Guest,,
2025-12-25 12:53:52.181902,angry,61.64948272705078,,Guest,,
2025-12-25 12:54:14.540403,neutral,84.66,weather is fine outside,Guest,,
2025-12-25 12:54:34.614944,neutral,79.23,emotions need to be kept in check,Guest,,
2025-12-25 12:54:58.767095,neutral,78.08,On ne voit bien qu'avec le cœur. L'essentiel est invisible pour les yeux,Guest,,
2025-12-25 12:55:20.577557,joy,83.36,"Aimer, c'est essentiellement vouloir être aimé",Guest,,
2025-12-25 14:23:43.225420,fear,60.3574447631836,,Guest,,
2025-12-25 14:29:11.655446,neutral,44.58,emotions are always there,Guest,,
2025-12-25 15:53:22.329316,sad,98.54,i am going to market,Guest,,
2025-12-25 15:54:01.729356,happy,65.25,,Guest,,
2025-12-25 15:54:23.849627,sad,98.54,i am going to market,Guest,,
2025-12-25 15:55:25.595028,neutral,89.59,"ce n’est pas se regarder l’un l’autre, c’est regarder ensemble dans la même direction",Guest,,
2025-12-25 15:56:31.105912,neutral,89.59,"ce n’est pas se regarder l’un l’autre, c’est regarder ensemble dans la même direction",Guest,,
2025-12-25 19:13:17.125736,anger,81.66,Prouver que j'ai raison serait accorder que je puis avoir tort,Guest,,
2025-12-25 19:13:45.915449,neutral,84.07,On n'est point toujours une bête pour l'avoir été quelquefois,Guest,,
2025-12-25 19:14:21.469473,anger,84.0,"Plus l'offenseur m'est cher, plus je ressens l'injure",Guest,,
2025-12-25 20:18:22.472250,neutral,83.69,"""मेहरबाँ हो के बुला लो, चाहिये जो वक्त, मैं वक्त नहीं हूँ, के फिर आ भी न सकूँ""",Guest,,
2025-12-25 21:08:46.661961,happy,97.97,,Guest,,
2025-12-25 21:14:47.945574,neutral,82.19,"ये वो पल होते हैं जब हम अपने दिल की गहराइयों में डूब जाते हैं, और हर लफ्ज़ एक कसक बनकर उभरता है। कि काश, ऐसा नहीं, ऐसा हो जाता… ऐसे में, हम सभी को ऐसे अल्फ़ाज़ की ज़रूरत महसूस होती है, जो हमारे दिल के दर्द को समझ सकें, उसे बयां कर सकें।",Guest,,
2025-12-25 21:48:25.026439,neutral,63.71,"वो रिश्ता अब सिर्फ नाम का रह गया है, जिसमें न दिल बचा और न अहसास।",Guest,,
2025-12-25 21:48:55.337278,disgust,53.24,"कभी उसके बिना सोचना भी गुनाह था, आज उसके बिना जीना, जीना बन गया।",Guest,,
2025-12-25 21:50:13.145708,sad,99.86,"वो पल जो कभी अनमोल थे, आज सिर्फ बीते वक्त की एक उदास याद हैं।",Guest,,
2025-12-25 21:50:59.522294,sad,95.64,,Guest,,
2025-12-25 22:04:40.647450,sadness,27.78,"किसी और की खुशियों के लिए अपने सपनों को कुर्बान कर दिया; अब खाली हाथ हूँ, बस हाथ हैं।",Guest,,
